"scope","document_id","filename","source_url","bytes","sha256"
"technical-release","WAP-200_005-WDP","WAP-200_005-WDP-20010718-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200_005-WDP-20010718-a.pdf",236697,"2279c021d44f6b7e329ba68f4227031e4c325776234052beef78654b37bc34a7"
"technical-release","WAP-200-WDP","WAP-200-WDP-20000219-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-200-WDP-20000219-a.pdf",630940,"e6279c8c3108ceeb8268b868211585fff7331feec5bda4ff90ce9be2df2d23b3"
"technical-release","WAP-201_001-WTP","WAP-201_001-WTP-20001212-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-201_001-WTP-20001212-a.pdf",24471,"c630b409e1f8c9e4af5caba16095ffcd08bab08959d84c5afae76513a9f21b7d"
"technical-release","WAP-201_002-WTP","WAP-201_002-WTP-20001213-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-201_002-WTP-20001213-a.pdf",38212,"b26e9f19c25c858e9b6a26f23445420b4d3750cd08ed2dfae2c5088ed18d8644"
"technical-release","WAP-201-WTP","WAP-201-WTP-20000219-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-201-WTP-20000219-a.pdf",163767,"b035ceebfb5bfd2a7d6396ff8d604aaa878113dd0924c305e6fba3c92f186304"
"technical-release","WAP-202-WCMP","WAP-202-WCMP-20010624-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-202-WCMP-20010624-a.pdf",137844,"231166eec1103a8729147db180efdefd894e4879205cef7891f55ac79f034fa9"
"technical-release","WAP-203_001-WSP","WAP-203_001-WSP-20000620-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-203_001-WSP-20000620-a.pdf",15207,"12006aa09ed8770f8c1ec388c9341024f67b3661d85f294d4fdce00e9e6f2e45"
"technical-release","WAP-203_003-WSP","WAP-203_003-WSP-20001218-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-203_003-WSP-20001218-a.pdf",104288,"235419958d5ff05e7d587b92f1dbbf858ac0ca9115b61cf7fabe9a8872680159"
"technical-release","WAP-203_005-WSP","WAP-203_005-WSP-20010717-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-203_005-WSP-20010717-a.pdf",33612,"709fe4ca20f25a4b3ce52735e070758ae31607755b1fb74d44224d2b218088d8"
"technical-release","WAP-203-WSP","WAP-203-WSP-20000504-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-203-WSP-20000504-a.pdf",397958,"fe6df3d2383abd46d1044cbd0dcd9cf216103346e3d88c5c7e66be21b52e5bd2"
"technical-release","WAP-204_103-WAPOverGSMUSSD","WAP-204_103-WAPOverGSMUSSD-20010813-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-204_103-WAPOverGSMUSSD-20010813-a.pdf",40192,"74e1f248b03a1ca8710ef3e3ab04093e40fb21163097672949c0861490a2eee0"
"technical-release","WAP-204-WAPOverGSMUSSD","WAP-204-WAPOverGSMUSSD-20010730-a.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-204-WAPOverGSMUSSD-20010730-a.pdf",142592,"71629ac6a2c9e9fa32a0b9cd940e26d872ca697866ce9b30d70f8950bffb69bb"
"technical-release","WAP-213_101-WAPInterPic","WAP-213_101-WAPInterPic-20011123-p.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-213_101-WAPInterPic-20011123-p.pdf",43543,"1d5c69f4df11e723468223becd3b021e4f342c669b513e0dfa70a64f29232bcf"
"technical-release","WAP-227_100-PSTOR","WAP-227_100-PSTOR-20011109-p.pdf","https://www.openmobilealliance.org/tech/affiliates/wap/WAP-227_100-PSTOR-20011109-p.pdf",30817,"ac037583b5c7b125ae24464a340883980d5e696ba5ab659d5e4e902a37a45237"
